# filename: /home/lepecvd/lepecvd/11354/xray/2.0deg-2.0deg-rsm-3h10m_11354-E4_224.xrdml
# reflection: ('2', '2', '4')
# type: Area measurement
# x-axis: Omega_2Theta
# y-axis: Omega
# 
# Omega	2Theta	Phi  	Chi   	X    	Y    	Z    	q_para	q_perp	Intensity
# [deg]	[deg] 	[deg]	[deg] 	[mm] 	[mm] 	[mm] 	[nm-1]	[nm-1]	[counts/s]
7.4351	86.3542	-0.10	0.10	0.00	-22.75	7.333	5.18900	7.21010	0.0
7.4451	86.3742	-0.10	0.10	0.00	-22.75	7.333	5.18996	7.21144	4.0
7.4551	86.3942	-0.10	0.10	0.00	-22.75	7.333	5.19093	7.21278	4.0
7.4651	86.4142	-0.10	0.10	0.00	-22.75	7.333	5.19189	7.21412	2.0
7.4751	86.4342	-0.10	0.10	0.00	-22.75	7.333	5.19286	7.21546	4.0
7.4851	86.4542	-0.10	0.10	0.00	-22.75	7.333	5.19382	7.21680	10.0
7.4951	86.4742	-0.10	0.10	0.00	-22.75	7.333	5.19479	7.21814	6.0
7.5051	86.4942	-0.10	0.10	0.00	-22.75	7.333	5.19575	7.21948	2.0
7.5151	86.5142	-0.10	0.10	0.00	-22.75	7.333	5.19671	7.22082	0.0
7.5251	86.5342	-0.10	0.10	0.00	-22.75	7.333	5.19768	7.22216	0.0
7.5351	86.5542	-0.10	0.10	0.00	-22.75	7.333	5.19864	7.22350	2.0
7.5451	86.5742	-0.10	0.10	0.00	-22.75	7.333	5.19961	7.22483	2.0
7.5551	86.5942	-0.10	0.10	0.00	-22.75	7.333	5.20057	7.22617	2.0
7.5651	86.6142	-0.10	0.10	0.00	-22.75	7.333	5.20153	7.22751	0.0
7.5751	86.6342	-0.10	0.10	0.00	-22.75	7.333	5.20249	7.22885	0.0
7.5851	86.6542	-0.10	0.10	0.00	-22.75	7.333	5.20346	7.23019	8.0
7.5951	86.6742	-0.10	0.10	0.00	-22.75	7.333	5.20442	7.23153	0.0
7.6051	86.6942	-0.10	0.10	0.00	-22.75	7.333	5.20538	7.23286	0.0
7.6151	86.7142	-0.10	0.10	0.00	-22.75	7.333	5.20635	7.23420	4.0
7.6251	86.7342	-0.10	0.10	0.00	-22.75	7.333	5.20731	7.23554	2.0
7.6351	86.7542	-0.10	0.10	0.00	-22.75	7.333	5.20827	7.23687	0.0
7.6451	86.7742	-0.10	0.10	0.00	-22.75	7.333	5.20923	7.23821	8.0
7.6551	86.7942	-0.10	0.10	0.00	-22.75	7.333	5.21019	7.23955	2.0
7.6651	86.8142	-0.10	0.10	0.00	-22.75	7.333	5.21116	7.24088	0.0
7.6751	86.8342	-0.10	0.10	0.00	-22.75	7.333	5.21212	7.24222	2.0
7.6851	86.8542	-0.10	0.10	0.00	-22.75	7.333	5.21308	7.24355	0.0
7.6951	86.8742	-0.10	0.10	0.00	-22.75	7.333	5.21404	7.24489	2.0
7.7051	86.8942	-0.10	0.10	0.00	-22.75	7.333	5.21500	7.24623	0.0
7.7151	86.9142	-0.10	0.10	0.00	-22.75	7.333	5.21596	7.24756	0.0
7.7251	86.9342	-0.10	0.10	0.00	-22.75	7.333	5.21692	7.24890	0.0
7.7351	86.9542	-0.10	0.10	0.00	-22.75	7.333	5.21788	7.25023	2.0
7.7451	86.9742	-0.10	0.10	0.00	-22.75	7.333	5.21884	7.25156	2.0
7.7551	86.9942	-0.10	0.10	0.00	-22.75	7.333	5.21980	7.25290	0.0
7.7651	87.0142	-0.10	0.10	0.00	-22.75	7.333	5.22076	7.25423	2.0
7.7751	87.0342	-0.10	0.10	0.00	-22.75	7.333	5.22172	7.25557	0.0
7.7851	87.0542	-0.10	0.10	0.00	-22.75	7.333	5.22268	7.25690	0.0
7.7951	87.0742	-0.10	0.10	0.00	-22.75	7.333	5.22364	7.25823	4.0
7.8051	87.0942	-0.10	0.10	0.00	-22.75	7.333	5.22460	7.25957	0.0
7.8151	87.1142	-0.10	0.10	0.00	-22.75	7.333	5.22556	7.26090	0.0
7.8251	87.1342	-0.10	0.10	0.00	-22.75	7.333	5.22652	7.26223	2.0
7.8351	87.1542	-0.10	0.10	0.00	-22.75	7.333	5.22748	7.26356	0.0
7.8451	87.1742	-0.10	0.10	0.00	-22.75	7.333	5.22844	7.26490	0.0
7.8551	87.1942	-0.10	0.10	0.00	-22.75	7.333	5.22940	7.26623	0.0
7.8651	87.2142	-0.10	0.10	0.00	-22.75	7.333	5.23035	7.26756	2.0
7.8751	87.2342	-0.10	0.10	0.00	-22.75	7.333	5.23131	7.26889	0.0
7.8851	87.2542	-0.10	0.10	0.00	-22.75	7.333	5.23227	7.27022	2.0
7.8951	87.2742	-0.10	0.10	0.00	-22.75	7.333	5.23323	7.27155	0.0
7.9051	87.2942	-0.10	0.10	0.00	-22.75	7.333	5.23419	7.27289	0.0
7.9151	87.3142	-0.10	0.10	0.00	-22.75	7.333	5.23514	7.27422	0.0
7.9251	87.3342	-0.10	0.10	0.00	-22.75	7.333	5.23610	7.27555	0.0
7.9351	87.3542	-0.10	0.10	0.00	-22.75	7.333	5.23706	7.27688	0.0
7.9451	87.3742	-0.10	0.10	0.00	-22.75	7.333	5.23802	7.27821	2.0
7.9551	87.3942	-0.10	0.10	0.00	-22.75	7.333	5.23897	7.27954	4.0
7.9651	87.4142	-0.10	0.10	0.00	-22.75	7.333	5.23993	7.28087	2.0
7.9751	87.4342	-0.10	0.10	0.00	-22.75	7.333	5.24089	7.28220	2.0
7.9851	87.4542	-0.10	0.10	0.00	-22.75	7.333	5.24184	7.28352	2.0
7.9951	87.4742	-0.10	0.10	0.00	-22.75	7.333	5.24280	7.28485	2.0
8.0051	87.4942	-0.10	0.10	0.00	-22.75	7.333	5.24376	7.28618	2.0
8.0151	87.5142	-0.10	0.10	0.00	-22.75	7.333	5.24471	7.28751	0.0
8.0251	87.5342	-0.10	0.10	0.00	-22.75	7.333	5.24567	7.28884	2.0
8.0351	87.5542	-0.10	0.10	0.00	-22.75	7.333	5.24662	7.29017	0.0
8.0451	87.5742	-0.10	0.10	0.00	-22.75	7.333	5.24758	7.29149	0.0
8.0551	87.5942	-0.10	0.10	0.00	-22.75	7.333	5.24853	7.29282	2.0
8.0651	87.6142	-0.10	0.10	0.00	-22.75	7.333	5.24949	7.29415	0.0
8.0751	87.6342	-0.10	0.10	0.00	-22.75	7.333	5.25044	7.29548	6.0
8.0851	87.6542	-0.10	0.10	0.00	-22.75	7.333	5.25140	7.29680	2.0
8.0951	87.6742	-0.10	0.10	0.00	-22.75	7.333	5.25235	7.29813	2.0
8.1051	87.6942	-0.10	0.10	0.00	-22.75	7.333	5.25331	7.29946	0.0
8.1151	87.7142	-0.10	0.10	0.00	-22.75	7.333	5.25426	7.30078	2.0
8.1251	87.7342	-0.10	0.10	0.00	-22.75	7.333	5.25522	7.30211	4.0
8.1351	87.7542	-0.10	0.10	0.00	-22.75	7.333	5.25617	7.30343	4.0
8.1451	87.7742	-0.10	0.10	0.00	-22.75	7.333	5.25713	7.30476	2.0
8.1551	87.7942	-0.10	0.10	0.00	-22.75	7.333	5.25808	7.30608	0.0
8.1651	87.8142	-0.10	0.10	0.00	-22.75	7.333	5.25903	7.30741	2.0
8.1751	87.8342	-0.10	0.10	0.00	-22.75	7.333	5.25999	7.30873	2.0
8.1851	87.8542	-0.10	0.10	0.00	-22.75	7.333	5.26094	7.31006	2.0
8.1951	87.8742	-0.10	0.10	0.00	-22.75	7.333	5.26189	7.31138	0.0
8.2051	87.8942	-0.10	0.10	0.00	-22.75	7.333	5.26285	7.31271	0.0
8.2151	87.9142	-0.10	0.10	0.00	-22.75	7.333	5.26380	7.31403	0.0
8.2251	87.9342	-0.10	0.10	0.00	-22.75	7.333	5.26475	7.31536	4.0
8.2351	87.9542	-0.10	0.10	0.00	-22.75	7.333	5.26570	7.31668	0.0
8.2451	87.9742	-0.10	0.10	0.00	-22.75	7.333	5.26666	7.31800	4.0
8.2551	87.9942	-0.10	0.10	0.00	-22.75	7.333	5.26761	7.31933	2.0
8.2651	88.0142	-0.10	0.10	0.00	-22.75	7.333	5.26856	7.32065	0.0
8.2751	88.0342	-0.10	0.10	0.00	-22.75	7.333	5.26951	7.32197	2.0
8.2851	88.0542	-0.10	0.10	0.00	-22.75	7.333	5.27046	7.32329	0.0
8.2951	88.0742	-0.10	0.10	0.00	-22.75	7.333	5.27142	7.32462	0.0
8.3051	88.0942	-0.10	0.10	0.00	-22.75	7.333	5.27237	7.32594	0.0
8.3151	88.1142	-0.10	0.10	0.00	-22.75	7.333	5.27332	7.32726	0.0
8.3251	88.1342	-0.10	0.10	0.00	-22.75	7.333	5.27427	7.32858	0.0
8.3351	88.1542	-0.10	0.10	0.00	-22.75	7.333	5.27522	7.32990	0.0
8.3451	88.1742	-0.10	0.10	0.00	-22.75	7.333	5.27617	7.33122	0.0
8.3551	88.1942	-0.10	0.10	0.00	-22.75	7.333	5.27712	7.33254	4.0
8.3651	88.2142	-0.10	0.10	0.00	-22.75	7.333	5.27807	7.33387	2.0
8.3751	88.2342	-0.10	0.10	0.00	-22.75	7.333	5.27902	7.33519	0.0
8.3851	88.2542	-0.10	0.10	0.00	-22.75	7.333	5.27997	7.33651	4.0
8.3951	88.2742	-0.10	0.10	0.00	-22.75	7.333	5.28092	7.33783	0.0
8.4051	88.2942	-0.10	0.10	0.00	-22.75	7.333	5.28187	7.33915	0.0
8.4151	88.3142	-0.10	0.10	0.00	-22.75	7.333	5.28282	7.34047	10.0
8.4251	88.3342	-0.10	0.10	0.00	-22.75	7.333	5.28377	7.34178	0.0
8.4351	88.3542	-0.10	0.10	0.00	-22.75	7.333	5.28472	7.34310	2.0
8.4451	88.3742	-0.10	0.10	0.00	-22.75	7.333	5.28567	7.34442	0.0
8.4551	88.3942	-0.10	0.10	0.00	-22.75	7.333	5.28662	7.34574	2.0
8.4651	88.4142	-0.10	0.10	0.00	-22.75	7.333	5.28757	7.34706	0.0
8.4751	88.4342	-0.10	0.10	0.00	-22.75	7.333	5.28852	7.34838	0.0
8.4851	88.4542	-0.10	0.10	0.00	-22.75	7.333	5.28947	7.34970	0.0
8.4951	88.4742	-0.10	0.10	0.00	-22.75	7.333	5.29041	7.35101	2.0
8.5051	88.4942	-0.10	0.10	0.00	-22.75	7.333	5.29136	7.35233	2.0
8.5151	88.5142	-0.10	0.10	0.00	-22.75	7.333	5.29231	7.35365	2.0
8.5251	88.5342	-0.10	0.10	0.00	-22.75	7.333	5.29326	7.35497	0.0
8.5351	88.5542	-0.10	0.10	0.00	-22.75	7.333	5.29421	7.35628	0.0
8.5451	88.5742	-0.10	0.10	0.00	-22.75	7.333	5.29515	7.35760	0.0
8.5551	88.5942	-0.10	0.10	0.00	-22.75	7.333	5.29610	7.35892	0.0
8.5651	88.6142	-0.10	0.10	0.00	-22.75	7.333	5.29705	7.36023	2.0
8.5751	88.6342	-0.10	0.10	0.00	-22.75	7.333	5.29800	7.36155	0.0
8.5851	88.6542	-0.10	0.10	0.00	-22.75	7.333	5.29894	7.36286	4.0
8.5951	88.6742	-0.10	0.10	0.00	-22.75	7.333	5.29989	7.36418	0.0
8.6051	88.6942	-0.10	0.10	0.00	-22.75	7.333	5.30084	7.36549	0.0
8.6151	88.7142	-0.10	0.10	0.00	-22.75	7.333	5.30178	7.36681	0.0
8.6251	88.7342	-0.10	0.10	0.00	-22.75	7.333	5.30273	7.36812	4.0
8.6351	88.7542	-0.10	0.10	0.00	-22.75	7.333	5.30367	7.36944	0.0
8.6451	88.7742	-0.10	0.10	0.00	-22.75	7.333	5.30462	7.37075	2.0
8.6551	88.7942	-0.10	0.10	0.00	-22.75	7.333	5.30557	7.37207	0.0
8.6651	88.8142	-0.10	0.10	0.00	-22.75	7.333	5.30651	7.37338	2.0
8.6751	88.8342	-0.10	0.10	0.00	-22.75	7.333	5.30746	7.37469	0.0
8.6851	88.8542	-0.10	0.10	0.00	-22.75	7.333	5.30840	7.37601	4.0
8.6951	88.8742	-0.10	0.10	0.00	-22.75	7.333	5.30935	7.37732	0.0
8.7051	88.8942	-0.10	0.10	0.00	-22.75	7.333	5.31029	7.37863	2.0
8.7151	88.9142	-0.10	0.10	0.00	-22.75	7.333	5.31124	7.37995	6.0
8.7251	88.9342	-0.10	0.10	0.00	-22.75	7.333	5.31218	7.38126	0.0
8.7351	88.9542	-0.10	0.10	0.00	-22.75	7.333	5.31313	7.38257	2.0
8.7451	88.9742	-0.10	0.10	0.00	-22.75	7.333	5.31407	7.38388	0.0
8.7551	88.9942	-0.10	0.10	0.00	-22.75	7.333	5.31501	7.38520	2.0
8.7651	89.0142	-0.10	0.10	0.00	-22.75	7.333	5.31596	7.38651	0.0
8.7751	89.0342	-0.10	0.10	0.00	-22.75	7.333	5.31690	7.38782	0.0

6.8151	85.0742	-0.10	0.10	0.00	-22.75	7.333	5.12442	7.12560	2.0
6.8251	85.0942	-0.10	0.10	0.00	-22.75	7.333	5.12539	7.12696	4.0
6.8351	85.1142	-0.10	0.10	0.00	-22.75	7.333	5.12636	7.12831	0.0
6.8451	85.1342	-0.10	0.10	0.00	-22.75	7.333	5.12734	7.12967	2.0
6.8551	85.1542	-0.10	0.10	0.00	-22.75	7.333	5.12831	7.13102	0.0
6.8651	85.1742	-0.10	0.10	0.00	-22.75	7.333	5.12929	7.13238	4.0
6.8751	85.1942	-0.10	0.10	0.00	-22.75	7.333	5.13026	7.13373	2.0
6.8851	85.2142	-0.10	0.10	0.00	-22.75	7.333	5.13124	7.13509	2.0
6.8951	85.2342	-0.10	0.10	0.00	-22.75	7.333	5.13221	7.13644	2.0
6.9051	85.2542	-0.10	0.10	0.00	-22.75	7.333	5.13318	7.13779	2.0
6.9151	85.2742	-0.10	0.10	0.00	-22.75	7.333	5.13416	7.13915	0.0
6.9251	85.2942	-0.10	0.10	0.00	-22.75	7.333	5.13513	7.14050	0.0
6.9351	85.3142	-0.10	0.10	0.00	-22.75	7.333	5.13610	7.14185	2.0
6.9451	85.3342	-0.10	0.10	0.00	-22.75	7.333	5.13707	7.14321	0.0
6.9551	85.3542	-0.10	0.10	0.00	-22.75	7.333	5.13805	7.14456	2.0
6.9651	85.3742	-0.10	0.10	0.00	-22.75	7.333	5.13902	7.14591	0.0
6.9751	85.3942	-0.10	0.10	0.00	-22.75	7.333	5.13999	7.14726	0.0
6.9851	85.4142	-0.10	0.10	0.00	-22.75	7.333	5.14096	7.14862	0.0
6.9951	85.4342	-0.10	0.10	0.00	-22.75	7.333	5.14194	7.14997	4.0
7.0051	85.4542	-0.10	0.10	0.00	-22.75	7.333	5.14291	7.15132	0.0
7.0151	85.4742	-0.10	0.10	0.00	-22.75	7.333	5.14388	7.15267	2.0
7.0251	85.4942	-0.10	0.10	0.00	-22.75	7.333	5.14485	7.15402	0.0
7.0351	85.5142	-0.10	0.10	0.00	-22.75	7.333	5.14582	7.15537	0.0
7.0451	85.5342	-0.10	0.10	0.00	-22.75	7.333	5.14679	7.15672	0.0
7.0551	85.5542	-0.10	0.10	0.00	-22.75	7.333	5.14777	7.15807	4.0
7.0651	85.5742	-0.10	0.10	0.00	-22.75	7.333	5.14874	7.15942	2.0
7.0751	85.5942	-0.10	0.10	0.00	-22.75	7.333	5.14971	7.16077	0.0
7.0851	85.6142	-0.10	0.10	0.00	-22.75	7.333	5.15068	7.16212	0.0
7.0951	85.6342	-0.10	0.10	0.00	-22.75	7.333	5.15165	7.16347	2.0
7.1051	85.6542	-0.10	0.10	0.00	-22.75	7.333	5.15262	7.16482	2.0
7.1151	85.6742	-0.10	0.10	0.00	-22.75	7.333	5.15359	7.16617	0.0
7.1251	85.6942	-0.10	0.10	0.00	-22.75	7.333	5.15456	7.16752	2.0
7.1351	85.7142	-0.10	0.10	0.00	-22.75	7.333	5.15553	7.16887	0.0
7.1451	85.7342	-0.10	0.10	0.00	-22.75	7.333	5.15650	7.17022	2.0
7.1551	85.7542	-0.10	0.10	0.00	-22.75	7.333	5.15747	7.17156	0.0
7.1651	85.7742	-0.10	0.10	0.00	-22.75	7.333	5.15844	7.17291	0.0
7.1751	85.7942	-0.10	0.10	0.00	-22.75	7.333	5.15941	7.17426	0.0
7.1851	85.8142	-0.10	0.10	0.00	-22.75	7.333	5.16038	7.17561	0.0
7.1951	85.8342	-0.10	0.10	0.00	-22.75	7.333	5.16134	7.17695	0.0
7.2051	85.8542	-0.10	0.10	0.00	-22.75	7.333	5.16231	7.17830	0.0
7.2151	85.8742	-0.10	0.10	0.00	-22.75	7.333	5.16328	7.17965	2.0
7.2251	85.8942	-0.10	0.10	0.00	-22.75	7.333	5.16425	7.18099	2.0
7.2351	85.9142	-0.10	0.10	0.00	-22.75	7.333	5.16522	7.18234	2.0
7.2451	85.9342	-0.10	0.10	0.00	-22.75	7.333	5.16619	7.18369	0.0
7.2551	85.9542	-0.10	0.10	0.00	-22.75	7.333	5.16715	7.18503	4.0
7.2651	85.9742	-0.10	0.10	0.00	-22.75	7.333	5.16812	7.18638	0.0
7.2751	85.9942	-0.10	0.10	0.00	-22.75	7.333	5.16909	7.18772	2.0
7.2851	86.0142	-0.10	0.10	0.00	-22.75	7.333	5.17006	7.18907	0.0
7.2951	86.0342	-0.10	0.10	0.00	-22.75	7.333	5.17102	7.19041	0.0
7.3051	86.0542	-0.10	0.10	0.00	-22.75	7.333	5.17199	7.19176	0.0
7.3151	86.0742	-0.10	0.10	0.00	-22.75	7.333	5.17296	7.19310	2.0
7.3251	86.0942	-0.10	0.10	0.00	-22.75	7.333	5.17393	7.19445	2.0
