# filename: /home/lepecvd/lepecvd/11355/xray/2.0deg-2.0deg-rsm-3h10m_11355-E4_224.xrdml
# reflection: ('2', '2', '4')
# type: Area measurement
# x-axis: Omega_2Theta
# y-axis: Omega
# 
# Omega	2Theta	Phi  	Chi   	X    	Y    	Z    	q_para	q_perp	Intensity
# [deg]	[deg] 	[deg]	[deg] 	[mm] 	[mm] 	[mm] 	[nm-1]	[nm-1]	[counts/s]
6.6828	84.9998	-0.70	0.35	0.00	15.50	7.376	5.13260	7.11205	0.0
6.6928	85.0198	-0.70	0.35	0.00	15.50	7.376	5.13358	7.11341	2.0
6.7028	85.0398	-0.70	0.35	0.00	15.50	7.376	5.13456	7.11476	0.0
6.7128	85.0598	-0.70	0.35	0.00	15.50	7.376	5.13553	7.11611	0.0
6.7228	85.0798	-0.70	0.35	0.00	15.50	7.376	5.13651	7.11747	0.0
6.7328	85.0998	-0.70	0.35	0.00	15.50	7.376	5.13749	7.11882	0.0
6.7428	85.1198	-0.70	0.35	0.00	15.50	7.376	5.13846	7.12017	0.0
6.7528	85.1398	-0.70	0.35	0.00	15.50	7.376	5.13944	7.12153	0.0
6.7628	85.1598	-0.70	0.35	0.00	15.50	7.376	5.14042	7.12288	0.0
6.7728	85.1798	-0.70	0.35	0.00	15.50	7.376	5.14139	7.12423	0.0
6.7828	85.1998	-0.70	0.35	0.00	15.50	7.376	5.14237	7.12559	0.0
6.7928	85.2198	-0.70	0.35	0.00	15.50	7.376	5.14334	7.12694	6.0
6.8028	85.2398	-0.70	0.35	0.00	15.50	7.376	5.14432	7.12829	0.0
6.8128	85.2598	-0.70	0.35	0.00	15.50	7.376	5.14530	7.12964	0.0
6.8228	85.2798	-0.70	0.35	0.00	15.50	7.376	5.14627	7.13099	4.0
6.8328	85.2998	-0.70	0.35	0.00	15.50	7.376	5.14725	7.13235	2.0
6.8428	85.3198	-0.70	0.35	0.00	15.50	7.376	5.14822	7.13370	0.0
6.8528	85.3398	-0.70	0.35	0.00	15.50	7.376	5.14920	7.13505	2.0
6.8628	85.3598	-0.70	0.35	0.00	15.50	7.376	5.15017	7.13640	0.0
6.8728	85.3798	-0.70	0.35	0.00	15.50	7.376	5.15115	7.13775	0.0
6.8828	85.3998	-0.70	0.35	0.00	15.50	7.376	5.15212	7.13910	4.0
6.8928	85.4198	-0.70	0.35	0.00	15.50	7.376	5.15310	7.14045	0.0
6.9028	85.4398	-0.70	0.35	0.00	15.50	7.376	5.15407	7.14180	2.0
6.9128	85.4598	-0.70	0.35	0.00	15.50	7.376	5.15504	7.14315	0.0
6.9228	85.4798	-0.70	0.35	0.00	15.50	7.376	5.15602	7.14450	2.0
6.9328	85.4998	-0.70	0.35	0.00	15.50	7.376	5.15699	7.14585	0.0
6.9428	85.5198	-0.70	0.35	0.00	15.50	7.376	5.15797	7.14720	0.0
6.9528	85.5398	-0.70	0.35	0.00	15.50	7.376	5.15894	7.14855	0.0
6.9628	85.5598	-0.70	0.35	0.00	15.50	7.376	5.15991	7.14990	2.0
6.9728	85.5798	-0.70	0.35	0.00	15.50	7.376	5.16088	7.15124	0.0
6.9828	85.5998	-0.70	0.35	0.00	15.50	7.376	5.16186	7.15259	0.0
6.9928	85.6198	-0.70	0.35	0.00	15.50	7.376	5.16283	7.15394	2.0
7.0028	85.6398	-0.70	0.35	0.00	15.50	7.376	5.16380	7.15529	0.0
7.0128	85.6598	-0.70	0.35	0.00	15.50	7.376	5.16478	7.15664	0.0
7.0228	85.6798	-0.70	0.35	0.00	15.50	7.376	5.16575	7.15798	0.0
7.0328	85.6998	-0.70	0.35	0.00	15.50	7.376	5.16672	7.15933	2.0
7.0428	85.7198	-0.70	0.35	0.00	15.50	7.376	5.16769	7.16068	0.0
7.0528	85.7398	-0.70	0.35	0.00	15.50	7.376	5.16866	7.16202	0.0
7.0628	85.7598	-0.70	0.35	0.00	15.50	7.376	5.16964	7.16337	4.0
7.0728	85.7798	-0.70	0.35	0.00	15.50	7.376	5.17061	7.16472	0.0
7.0828	85.7998	-0.70	0.35	0.00	15.50	7.376	5.17158	7.16606	0.0
7.0928	85.8198	-0.70	0.35	0.00	15.50	7.376	5.17255	7.16741	0.0
7.1028	85.8398	-0.70	0.35	0.00	15.50	7.376	5.17352	7.16875	0.0
7.1128	85.8598	-0.70	0.35	0.00	15.50	7.376	5.17449	7.17010	0.0
7.1228	85.8798	-0.70	0.35	0.00	15.50	7.376	5.17546	7.17144	0.0
7.1328	85.8998	-0.70	0.35	0.00	15.50	7.376	5.17643	7.17279	0.0
7.1428	85.9198	-0.70	0.35	0.00	15.50	7.376	5.17740	7.17413	0.0
7.1528	85.9398	-0.70	0.35	0.00	15.50	7.376	5.17837	7.17548	2.0
7.1628	85.9598	-0.70	0.35	0.00	15.50	7.376	5.17934	7.17682	2.0
7.1728	85.9798	-0.70	0.35	0.00	15.50	7.376	5.18031	7.17817	2.0
7.1828	85.9998	-0.70	0.35	0.00	15.50	7.376	5.18128	7.17951	2.0
7.1928	86.0198	-0.70	0.35	0.00	15.50	7.376	5.18225	7.18085	0.0
7.2028	86.0398	-0.70	0.35	0.00	15.50	7.376	5.18322	7.18220	0.0
7.2128	86.0598	-0.70	0.35	0.00	15.50	7.376	5.18419	7.18354	0.0
7.2228	86.0798	-0.70	0.35	0.00	15.50	7.376	5.18516	7.18488	2.0
