# filename: /home/lepecvd/lepecvd/11355/xray/2.0deg-2.0deg-rsm-3h10m_11355-E5_224.xrdml
# reflection: ('2', '2', '4')
# type: Area measurement
# x-axis: Omega_2Theta
# y-axis: Omega
# 
# Omega	2Theta	Phi  	Chi   	X    	Y    	Z    	q_para	q_perp	Intensity
# [deg]	[deg] 	[deg]	[deg] 	[mm] 	[mm] 	[mm] 	[nm-1]	[nm-1]	[counts/s]
6.7478	86.3526	0.46	0.10	-30.00	-20.00	7.373	5.27493	7.14730	0.0
6.7578	86.3726	0.46	0.10	-30.00	-20.00	7.373	5.27591	7.14863	2.0
6.7678	86.3926	0.46	0.10	-30.00	-20.00	7.373	5.27690	7.14996	4.0
6.7778	86.4126	0.46	0.10	-30.00	-20.00	7.373	5.27788	7.15129	2.0
6.7878	86.4326	0.46	0.10	-30.00	-20.00	7.373	5.27886	7.15262	0.0
6.7978	86.4526	0.46	0.10	-30.00	-20.00	7.373	5.27984	7.15394	4.0
6.8078	86.4726	0.46	0.10	-30.00	-20.00	7.373	5.28082	7.15527	6.0
6.8178	86.4926	0.46	0.10	-30.00	-20.00	7.373	5.28180	7.15660	2.0
6.8278	86.5126	0.46	0.10	-30.00	-20.00	7.373	5.28278	7.15793	0.0
6.8378	86.5326	0.46	0.10	-30.00	-20.00	7.373	5.28376	7.15926	2.0
6.8478	86.5526	0.46	0.10	-30.00	-20.00	7.373	5.28474	7.16058	2.0
6.8578	86.5726	0.46	0.10	-30.00	-20.00	7.373	5.28572	7.16191	2.0
6.8678	86.5926	0.46	0.10	-30.00	-20.00	7.373	5.28670	7.16324	0.0
6.8778	86.6126	0.46	0.10	-30.00	-20.00	7.373	5.28768	7.16456	0.0
6.8878	86.6326	0.46	0.10	-30.00	-20.00	7.373	5.28865	7.16589	4.0
6.8978	86.6526	0.46	0.10	-30.00	-20.00	7.373	5.28963	7.16722	2.0
6.9078	86.6726	0.46	0.10	-30.00	-20.00	7.373	5.29061	7.16854	0.0
6.9178	86.6926	0.46	0.10	-30.00	-20.00	7.373	5.29159	7.16987	2.0
6.9278	86.7126	0.46	0.10	-30.00	-20.00	7.373	5.29257	7.17120	0.0
6.9378	86.7326	0.46	0.10	-30.00	-20.00	7.373	5.29355	7.17252	2.0
6.9478	86.7526	0.46	0.10	-30.00	-20.00	7.373	5.29453	7.17385	2.0
6.9578	86.7726	0.46	0.10	-30.00	-20.00	7.373	5.29550	7.17517	0.0
6.9678	86.7926	0.46	0.10	-30.00	-20.00	7.373	5.29648	7.17650	0.0
6.9778	86.8126	0.46	0.10	-30.00	-20.00	7.373	5.29746	7.17782	2.0
6.9878	86.8326	0.46	0.10	-30.00	-20.00	7.373	5.29844	7.17914	2.0
6.9978	86.8526	0.46	0.10	-30.00	-20.00	7.373	5.29941	7.18047	2.0
7.0078	86.8726	0.46	0.10	-30.00	-20.00	7.373	5.30039	7.18179	6.0
7.0178	86.8926	0.46	0.10	-30.00	-20.00	7.373	5.30137	7.18312	0.0
7.0278	86.9126	0.46	0.10	-30.00	-20.00	7.373	5.30234	7.18444	0.0
7.0378	86.9326	0.46	0.10	-30.00	-20.00	7.373	5.30332	7.18576	2.0
7.0478	86.9526	0.46	0.10	-30.00	-20.00	7.373	5.30430	7.18709	0.0
7.0578	86.9726	0.46	0.10	-30.00	-20.00	7.373	5.30527	7.18841	4.0
7.0678	86.9926	0.46	0.10	-30.00	-20.00	7.373	5.30625	7.18973	2.0
7.0778	87.0126	0.46	0.10	-30.00	-20.00	7.373	5.30723	7.19105	0.0
7.0878	87.0326	0.46	0.10	-30.00	-20.00	7.373	5.30820	7.19238	0.0
7.0978	87.0526	0.46	0.10	-30.00	-20.00	7.373	5.30918	7.19370	2.0
7.1078	87.0726	0.46	0.10	-30.00	-20.00	7.373	5.31015	7.19502	2.0
7.1178	87.0926	0.46	0.10	-30.00	-20.00	7.373	5.31113	7.19634	2.0
7.1278	87.1126	0.46	0.10	-30.00	-20.00	7.373	5.31210	7.19766	0.0
7.1378	87.1326	0.46	0.10	-30.00	-20.00	7.373	5.31308	7.19898	2.0
7.1478	87.1526	0.46	0.10	-30.00	-20.00	7.373	5.31405	7.20030	4.0
7.1578	87.1726	0.46	0.10	-30.00	-20.00	7.373	5.31503	7.20163	4.0
7.1678	87.1926	0.46	0.10	-30.00	-20.00	7.373	5.31600	7.20295	0.0
7.1778	87.2126	0.46	0.10	-30.00	-20.00	7.373	5.31698	7.20427	2.0
7.1878	87.2326	0.46	0.10	-30.00	-20.00	7.373	5.31795	7.20559	0.0
7.1978	87.2526	0.46	0.10	-30.00	-20.00	7.373	5.31892	7.20691	0.0
7.2078	87.2726	0.46	0.10	-30.00	-20.00	7.373	5.31990	7.20823	0.0
7.2178	87.2926	0.46	0.10	-30.00	-20.00	7.373	5.32087	7.20954	0.0
7.2278	87.3126	0.46	0.10	-30.00	-20.00	7.373	5.32185	7.21086	4.0
7.2378	87.3326	0.46	0.10	-30.00	-20.00	7.373	5.32282	7.21218	0.0
7.2478	87.3526	0.46	0.10	-30.00	-20.00	7.373	5.32379	7.21350	0.0
7.2578	87.3726	0.46	0.10	-30.00	-20.00	7.373	5.32477	7.21482	0.0
7.2678	87.3926	0.46	0.10	-30.00	-20.00	7.373	5.32574	7.21614	2.0
7.2778	87.4126	0.46	0.10	-30.00	-20.00	7.373	5.32671	7.21746	0.0
7.2878	87.4326	0.46	0.10	-30.00	-20.00	7.373	5.32768	7.21877	0.0
7.2978	87.4526	0.46	0.10	-30.00	-20.00	7.373	5.32866	7.22009	0.0
7.3078	87.4726	0.46	0.10	-30.00	-20.00	7.373	5.32963	7.22141	2.0
7.3178	87.4926	0.46	0.10	-30.00	-20.00	7.373	5.33060	7.22273	0.0
7.3278	87.5126	0.46	0.10	-30.00	-20.00	7.373	5.33157	7.22404	2.0
7.3378	87.5326	0.46	0.10	-30.00	-20.00	7.373	5.33254	7.22536	2.0
7.3478	87.5526	0.46	0.10	-30.00	-20.00	7.373	5.33352	7.22668	2.0
7.3578	87.5726	0.46	0.10	-30.00	-20.00	7.373	5.33449	7.22799	2.0
7.3678	87.5926	0.46	0.10	-30.00	-20.00	7.373	5.33546	7.22931	2.0
7.3778	87.6126	0.46	0.10	-30.00	-20.00	7.373	5.33643	7.23062	0.0
7.3878	87.6326	0.46	0.10	-30.00	-20.00	7.373	5.33740	7.23194	2.0
7.3978	87.6526	0.46	0.10	-30.00	-20.00	7.373	5.33837	7.23325	6.0
7.4078	87.6726	0.46	0.10	-30.00	-20.00	7.373	5.33934	7.23457	2.0
7.4178	87.6926	0.46	0.10	-30.00	-20.00	7.373	5.34031	7.23588	2.0
7.4278	87.7126	0.46	0.10	-30.00	-20.00	7.373	5.34128	7.23720	0.0
7.4378	87.7326	0.46	0.10	-30.00	-20.00	7.373	5.34225	7.23851	4.0
7.4478	87.7526	0.46	0.10	-30.00	-20.00	7.373	5.34322	7.23983	0.0
7.4578	87.7726	0.46	0.10	-30.00	-20.00	7.373	5.34419	7.24114	0.0
7.4678	87.7926	0.46	0.10	-30.00	-20.00	7.373	5.34516	7.24246	0.0
7.4778	87.8126	0.46	0.10	-30.00	-20.00	7.373	5.34613	7.24377	0.0
7.4878	87.8326	0.46	0.10	-30.00	-20.00	7.373	5.34710	7.24508	0.0
7.4978	87.8526	0.46	0.10	-30.00	-20.00	7.373	5.34807	7.24640	2.0
7.5078	87.8726	0.46	0.10	-30.00	-20.00	7.373	5.34904	7.24771	2.0
7.5178	87.8926	0.46	0.10	-30.00	-20.00	7.373	5.35001	7.24902	0.0
7.5278	87.9126	0.46	0.10	-30.00	-20.00	7.373	5.35098	7.25033	0.0
7.5378	87.9326	0.46	0.10	-30.00	-20.00	7.373	5.35194	7.25165	0.0
7.5478	87.9526	0.46	0.10	-30.00	-20.00	7.373	5.35291	7.25296	2.0
7.5578	87.9726	0.46	0.10	-30.00	-20.00	7.373	5.35388	7.25427	0.0
7.5678	87.9926	0.46	0.10	-30.00	-20.00	7.373	5.35485	7.25558	2.0
7.5778	88.0126	0.46	0.10	-30.00	-20.00	7.373	5.35582	7.25689	4.0
7.5878	88.0326	0.46	0.10	-30.00	-20.00	7.373	5.35678	7.25820	2.0
7.5978	88.0526	0.46	0.10	-30.00	-20.00	7.373	5.35775	7.25952	0.0
7.6078	88.0726	0.46	0.10	-30.00	-20.00	7.373	5.35872	7.26083	0.0
7.6178	88.0926	0.46	0.10	-30.00	-20.00	7.373	5.35969	7.26214	0.0
7.6278	88.1126	0.46	0.10	-30.00	-20.00	7.373	5.36065	7.26345	2.0
7.6378	88.1326	0.46	0.10	-30.00	-20.00	7.373	5.36162	7.26476	2.0
7.6478	88.1526	0.46	0.10	-30.00	-20.00	7.373	5.36259	7.26607	0.0
7.6578	88.1726	0.46	0.10	-30.00	-20.00	7.373	5.36355	7.26738	4.0
7.6678	88.1926	0.46	0.10	-30.00	-20.00	7.373	5.36452	7.26869	2.0
7.6778	88.2126	0.46	0.10	-30.00	-20.00	7.373	5.36549	7.27000	2.0
7.6878	88.2326	0.46	0.10	-30.00	-20.00	7.373	5.36645	7.27130	0.0
7.6978	88.2526	0.46	0.10	-30.00	-20.00	7.373	5.36742	7.27261	2.0
7.7078	88.2726	0.46	0.10	-30.00	-20.00	7.373	5.36838	7.27392	0.0
7.7178	88.2926	0.46	0.10	-30.00	-20.00	7.373	5.36935	7.27523	0.0
7.7278	88.3126	0.46	0.10	-30.00	-20.00	7.373	5.37032	7.27654	0.0
7.7378	88.3326	0.46	0.10	-30.00	-20.00	7.373	5.37128	7.27785	2.0
7.7478	88.3526	0.46	0.10	-30.00	-20.00	7.373	5.37225	7.27915	0.0
7.7578	88.3726	0.46	0.10	-30.00	-20.00	7.373	5.37321	7.28046	2.0
7.7678	88.3926	0.46	0.10	-30.00	-20.00	7.373	5.37418	7.28177	2.0
7.7778	88.4126	0.46	0.10	-30.00	-20.00	7.373	5.37514	7.28308	0.0
7.7878	88.4326	0.46	0.10	-30.00	-20.00	7.373	5.37610	7.28438	2.0
7.7978	88.4526	0.46	0.10	-30.00	-20.00	7.373	5.37707	7.28569	2.0
7.8078	88.4726	0.46	0.10	-30.00	-20.00	7.373	5.37803	7.28699	2.0
7.8178	88.4926	0.46	0.10	-30.00	-20.00	7.373	5.37900	7.28830	0.0
7.8278	88.5126	0.46	0.10	-30.00	-20.00	7.373	5.37996	7.28961	0.0
7.8378	88.5326	0.46	0.10	-30.00	-20.00	7.373	5.38092	7.29091	0.0
7.8478	88.5526	0.46	0.10	-30.00	-20.00	7.373	5.38189	7.29222	0.0
7.8578	88.5726	0.46	0.10	-30.00	-20.00	7.373	5.38285	7.29352	0.0
7.8678	88.5926	0.46	0.10	-30.00	-20.00	7.373	5.38381	7.29483	0.0
7.8778	88.6126	0.46	0.10	-30.00	-20.00	7.373	5.38478	7.29613	0.0
7.8878	88.6326	0.46	0.10	-30.00	-20.00	7.373	5.38574	7.29744	8.0
7.8978	88.6526	0.46	0.10	-30.00	-20.00	7.373	5.38670	7.29874	2.0
