# filename: /home/lepecvd/lepecvd/11371/xray/2.0deg-2.0deg-rsm-3h10m_11371-E4_224.xrdml
# reflection: ('2', '2', '4')
# type: Area measurement
# x-axis: Omega_2Theta
# y-axis: Omega
# 
# Omega	2Theta	Phi  	Chi   	X    	Y    	Z    	q_para	q_perp	Intensity
# [deg]	[deg] 	[deg]	[deg] 	[mm] 	[mm] 	[mm] 	[nm-1]	[nm-1]	[counts/s]
6.4777	85.0532	-0.92	0.32	0.00	17.53	7.303	5.16396	7.09483	2.0
6.4877	85.0732	-0.92	0.32	0.00	17.53	7.303	5.16494	7.09618	0.0
6.4977	85.0932	-0.92	0.32	0.00	17.53	7.303	5.16592	7.09753	2.0
6.5077	85.1132	-0.92	0.32	0.00	17.53	7.303	5.16690	7.09888	0.0
6.5177	85.1332	-0.92	0.32	0.00	17.53	7.303	5.16788	7.10023	0.0
6.5277	85.1532	-0.92	0.32	0.00	17.53	7.303	5.16887	7.10158	0.0
6.5377	85.1732	-0.92	0.32	0.00	17.53	7.303	5.16985	7.10293	0.0
6.5477	85.1932	-0.92	0.32	0.00	17.53	7.303	5.17083	7.10428	0.0
6.5577	85.2132	-0.92	0.32	0.00	17.53	7.303	5.17181	7.10563	4.0
6.5677	85.2332	-0.92	0.32	0.00	17.53	7.303	5.17279	7.10698	0.0
6.5777	85.2532	-0.92	0.32	0.00	17.53	7.303	5.17377	7.10832	2.0
6.5877	85.2732	-0.92	0.32	0.00	17.53	7.303	5.17476	7.10967	0.0
6.5977	85.2932	-0.92	0.32	0.00	17.53	7.303	5.17574	7.11102	0.0
6.6077	85.3132	-0.92	0.32	0.00	17.53	7.303	5.17672	7.11237	0.0
6.6177	85.3332	-0.92	0.32	0.00	17.53	7.303	5.17770	7.11371	0.0
6.6277	85.3532	-0.92	0.32	0.00	17.53	7.303	5.17868	7.11506	0.0
6.6377	85.3732	-0.92	0.32	0.00	17.53	7.303	5.17966	7.11641	2.0
6.6477	85.3932	-0.92	0.32	0.00	17.53	7.303	5.18064	7.11775	0.0
6.6577	85.4132	-0.92	0.32	0.00	17.53	7.303	5.18162	7.11910	4.0
6.6677	85.4332	-0.92	0.32	0.00	17.53	7.303	5.18260	7.12045	0.0
6.6777	85.4532	-0.92	0.32	0.00	17.53	7.303	5.18358	7.12179	2.0
6.6877	85.4732	-0.92	0.32	0.00	17.53	7.303	5.18456	7.12314	2.0
6.6977	85.4932	-0.92	0.32	0.00	17.53	7.303	5.18554	7.12448	0.0
6.7077	85.5132	-0.92	0.32	0.00	17.53	7.303	5.18651	7.12583	0.0
6.7177	85.5332	-0.92	0.32	0.00	17.53	7.303	5.18749	7.12717	0.0
6.7277	85.5532	-0.92	0.32	0.00	17.53	7.303	5.18847	7.12852	2.0
6.7377	85.5732	-0.92	0.32	0.00	17.53	7.303	5.18945	7.12986	2.0
6.7477	85.5932	-0.92	0.32	0.00	17.53	7.303	5.19043	7.13121	2.0
6.7577	85.6132	-0.92	0.32	0.00	17.53	7.303	5.19141	7.13255	4.0
6.7677	85.6332	-0.92	0.32	0.00	17.53	7.303	5.19239	7.13389	0.0
6.7777	85.6532	-0.92	0.32	0.00	17.53	7.303	5.19336	7.13524	0.0
6.7877	85.6732	-0.92	0.32	0.00	17.53	7.303	5.19434	7.13658	2.0
6.7977	85.6932	-0.92	0.32	0.00	17.53	7.303	5.19532	7.13793	6.0
6.8077	85.7132	-0.92	0.32	0.00	17.53	7.303	5.19630	7.13927	0.0
6.8177	85.7332	-0.92	0.32	0.00	17.53	7.303	5.19727	7.14061	4.0
6.8277	85.7532	-0.92	0.32	0.00	17.53	7.303	5.19825	7.14195	0.0
6.8377	85.7732	-0.92	0.32	0.00	17.53	7.303	5.19923	7.14330	2.0
6.8477	85.7932	-0.92	0.32	0.00	17.53	7.303	5.20021	7.14464	2.0
6.8577	85.8132	-0.92	0.32	0.00	17.53	7.303	5.20118	7.14598	0.0
6.8677	85.8332	-0.92	0.32	0.00	17.53	7.303	5.20216	7.14732	0.0
