# filename: /home/lepecvd/lepecvd/11358/xray/2.0deg-2.0deg-rsm-3h10m_11358-E4_224.xrdml
# reflection: ('2', '2', '4')
# type: Area measurement
# x-axis: Omega_2Theta
# y-axis: Omega
# 
# Omega	2Theta	Phi  	Chi   	X    	Y    	Z    	q_para	q_perp	Intensity
# [deg]	[deg] 	[deg]	[deg] 	[mm] 	[mm] 	[mm] 	[nm-1]	[nm-1]	[counts/s]
6.7944	86.3524	-0.24	0.13	0.00	-23.01	7.396	5.26910	7.15158	2.0
6.8044	86.3724	-0.24	0.13	0.00	-23.01	7.396	5.27008	7.15291	2.0
6.8144	86.3924	-0.24	0.13	0.00	-23.01	7.396	5.27106	7.15424	0.0
6.8244	86.4124	-0.24	0.13	0.00	-23.01	7.396	5.27204	7.15557	4.0
6.8344	86.4324	-0.24	0.13	0.00	-23.01	7.396	5.27302	7.15690	0.0
6.8444	86.4524	-0.24	0.13	0.00	-23.01	7.396	5.27400	7.15823	0.0
6.8544	86.4724	-0.24	0.13	0.00	-23.01	7.396	5.27497	7.15956	2.0
6.8644	86.4924	-0.24	0.13	0.00	-23.01	7.396	5.27595	7.16089	0.0
6.8744	86.5124	-0.24	0.13	0.00	-23.01	7.396	5.27693	7.16222	0.0
6.8844	86.5324	-0.24	0.13	0.00	-23.01	7.396	5.27791	7.16355	2.0
6.8944	86.5524	-0.24	0.13	0.00	-23.01	7.396	5.27889	7.16488	0.0
6.9044	86.5724	-0.24	0.13	0.00	-23.01	7.396	5.27987	7.16620	4.0
6.9144	86.5924	-0.24	0.13	0.00	-23.01	7.396	5.28085	7.16753	6.0
6.9244	86.6124	-0.24	0.13	0.00	-23.01	7.396	5.28182	7.16886	0.0
6.9344	86.6324	-0.24	0.13	0.00	-23.01	7.396	5.28280	7.17019	2.0
6.9444	86.6524	-0.24	0.13	0.00	-23.01	7.396	5.28378	7.17151	2.0
6.9544	86.6724	-0.24	0.13	0.00	-23.01	7.396	5.28476	7.17284	2.0
6.9644	86.6924	-0.24	0.13	0.00	-23.01	7.396	5.28574	7.17417	2.0
6.9744	86.7124	-0.24	0.13	0.00	-23.01	7.396	5.28671	7.17549	0.0
6.9844	86.7324	-0.24	0.13	0.00	-23.01	7.396	5.28769	7.17682	2.0
6.9944	86.7524	-0.24	0.13	0.00	-23.01	7.396	5.28867	7.17815	0.0
7.0044	86.7724	-0.24	0.13	0.00	-23.01	7.396	5.28964	7.17947	6.0
